UID        PID  PPID   LWP  C NLWP STIME TTY          TIME CMD
root       594     2   594  0    1 out07 ?        00:00:00 [loop20]
root       606     2   606  0    1 out07 ?        00:00:00 [loop21]
root       640     2   640  0    1 out07 ?        00:00:00 [loop22]
root       692     2   692  0    1 out07 ?        00:00:00 [loop23]
root       707     2   707  0    1 out07 ?        00:00:00 [loop24]
root       708     2   708  0    1 out07 ?        00:00:00 [loop25]
root       709     2   709  0    1 out07 ?        00:00:00 [loop26]
root       710     2   710  0    1 out07 ?        00:00:04 [loop27]
root       714     2   714  0    1 out07 ?        00:00:00 [loop28]
root       717     2   717  0    1 out07 ?        00:00:00 [loop29]
root       744     2   744  0    1 out07 ?        00:00:00 [loop30]
root       756     2   756  0    1 out07 ?        00:00:00 [loop31]
root       759     2   759  0    1 out07 ?        00:00:00 [loop32]
root       760     2   760  0    1 out07 ?        00:00:00 [ttm_swap]
systemd+   761     1   761  0    2 out07 ?        00:00:00 /lib/systemd/systemd-timesyncd
systemd+   761     1   775  0    2 out07 ?        00:00:00 /lib/systemd/systemd-timesyncd
systemd+   762     1   762  0    1 out07 ?        00:00:01 /lib/systemd/systemd-resolved
root       764     2   764  0    1 out07 ?        00:00:00 [loop33]
root       765     2   765  0    1 out07 ?        00:00:00 [loop34]
root       766     2   766  0    1 out07 ?        00:00:00 [loop35]
root       767     2   767  0    1 out07 ?        00:00:00 [loop36]
root       768     2   768  0    1 out07 ?        00:00:00 [loop37]
root       769     2   769  0    1 out07 ?        00:00:00 [loop38]
root       770     2   770  0    1 out07 ?        00:00:00 [loop39]
root       771     2   771  0    1 out07 ?        00:00:00 [loop40]
root       772     2   772  0    1 out07 ?        00:00:00 [loop41]
avahi     1023     1  1023  0    1 out07 ?        00:00:00 avahi-daemon: running [dalpendre-X555LD-2.local]
root      1024     1  1024  0    1 out07 ?        00:00:03 /usr/sbin/acpid
root      1025     1  1025  0    1 out07 ?        00:00:00 /usr/lib/bluetooth/bluetoothd
root      1036     1  1036  0    1 out07 ?        00:00:00 /usr/bin/irexec /etc/lirc/irexec.lircrc
root      1039     1  1039  0    3 out07 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root      1039     1  1052  0    3 out07 ?        00:00:04 /usr/lib/accountsservice/accounts-daemon
root      1039     1  1063  0    3 out07 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root      1040     1  1040  0    5 out07 ?        00:00:01 /usr/lib/udisks2/udisksd
root      1040     1  1057  0    5 out07 ?        00:00:00 /usr/lib/udisks2/udisksd
root      1040     1  1062  0    5 out07 ?        00:00:04 /usr/lib/udisks2/udisksd
root      1040     1  1159  0    5 out07 ?        00:00:00 /usr/lib/udisks2/udisksd
root      1040     1  1230  0    5 out07 ?        00:00:00 /usr/lib/udisks2/udisksd
message+  1041     1  1041  0    1 out07 ?        00:00:12 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
avahi     1046  1023  1046  0    1 out07 ?        00:00:00 avahi-daemon: chroot helper
root      1059     1  1059  0    1 out07 ?        00:00:00 /usr/bin/vmware-usbarbitrator
root      1064     1  1064  0    3 out07 ?        00:00:04 /usr/sbin/NetworkManager --no-daemon
root      1064     1  1164  0    3 out07 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root      1064     1  1168  0    3 out07 ?        00:00:01 /usr/sbin/NetworkManager --no-daemon
root      1065     1  1065  0    2 out07 ?        00:00:00 /usr/sbin/thermald --no-daemon --dbus-enable
root      1065     1  1154  0    2 out07 ?        00:00:01 /usr/sbin/thermald --no-daemon --dbus-enable
syslog    1067     1  1067  0    4 out07 ?        00:00:00 /usr/sbin/rsyslogd -n
syslog    1067     1  1125  0    4 out07 ?        00:00:03 /usr/sbin/rsyslogd -n
syslog    1067     1  1126  0    4 out07 ?        00:00:00 /usr/sbin/rsyslogd -n
syslog    1067     1  1127  0    4 out07 ?        00:00:02 /usr/sbin/rsyslogd -n
root      1068     1  1068  0    1 out07 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
root      1072     1  1072  0    1 out07 ?        00:00:00 /usr/sbin/cupsd -l
root      1073     1  1073  0    3 out07 ?        00:00:00 /usr/sbin/cups-browsed
root      1073     1  1165  0    3 out07 ?        00:00:00 /usr/sbin/cups-browsed
root      1073     1  1166  0    3 out07 ?        00:00:00 /usr/sbin/cups-browsed
root      1075     1  1075  0    1 out07 ?        00:00:00 /usr/sbin/lircmd --nodaemon
root      1079     1  1079  0    3 out07 ?        00:00:00 /usr/sbin/ModemManager --filter-policy=strict
